location,price,bedrooms,bathrooms,sqft,price per sqft
Arroyo Grande,795000,3,3,2371,335.3
Paso Robles,399000,4,3,2818,141.59
Paso Robles,545000,4,3,3032,179.75
Morro Bay,909000,4,4,3540,256.78
Santa Maria-Orcutt,109900,3,1,1249,87.99
Oceano,324900,3,3,1800,180.5
Santa Maria-Orcutt,192900,4,2,1603,120.34
Santa Maria-Orcutt,215000,3,2,1450,148.28
Morro Bay,999000,4,3,3360,297.32
Atascadero,319000,3,2,1323,241.12
Santa Maria-Orcutt,350000,3,2,1750,200
Santa Maria-Orcutt,249000,3,2,1400,177.86
Arroyo Grande,299000,2,2,1257,237.87
Santa Maria-Orcutt,235900,3,2,1400,168.5
Santa Maria-Orcutt,348000,3,2,1600,217.5
Paso Robles,314000,4,3,1794,175.03
Los Alamos,399000,4,2,1850,215.68
San Miguel,599000,3,3,2950,203.05
Paso Robles,299000,3,2,1719,173.94
San Luis Obispo,425000,3,3,1472,288.72
Morro Bay,1100000,4,3,4168,263.92
Cayucos,1500000,3,3,3880,386.6
Santa Maria-Orcutt,110000,2,1,1000,110
Santa Maria-Orcutt,200000,3,2,1139,175.59
Santa Maria-Orcutt,134900,3,1,1080,124.91
Santa Maria-Orcutt,250000,4,3,2000,125
Pismo Beach,950000,3,4,1920,494.79
Santa Maria-Orcutt,239950,4,2,1348,178
Santa Maria-Orcutt,170000,3,2,1280,132.81
Santa Maria-Orcutt,285000,3,2,2400,118.75
Santa Maria-Orcutt,279000,3,3,1700,164.12
Santa Maria-Orcutt,219000,3,2,1600,136.88
Santa Maria-Orcutt,155000,3,2,1050,147.62
Atascadero,389000,3,2,1415,274.91
Nipomo,340000,3,1,1110,306.31
Guadalupe,95000,2,1,797,119.2
Santa Maria-Orcutt,140000,2,2,1100,127.27
Pismo Beach,1100000,3,3,2602,422.75
Santa Maria-Orcutt,360000,4,3,2351,153.13
Morro Bay,415000,3,3,1350,307.41
Santa Maria-Orcutt,250000,4,2,1206,207.3
Santa Maria-Orcutt,559000,3,3,2628,212.71
Nipomo,525000,3,3,2365,221.99
Los Osos,779000,3,3,2990,260.54
Arroyo Grande,595000,3,2,1750,340
Templeton,1150000,4,5,5500,209.09
Templeton,550000,3,2,1852,296.98
Grover Beach,500000,3,2,2100,238.1
Santa Maria-Orcutt,279000,4,3,2580,108.14
Santa Maria-Orcutt,375000,4,2,1963,191.03
Santa Maria-Orcutt,330000,3,3,1900,173.68
Santa Maria-Orcutt,199000,3,3,1450,137.24
Santa Maria-Orcutt,165000,2,2,1000,165
Templeton,1399000,4,3,6500,215.23
Santa Maria-Orcutt,255000,3,2,1218,209.36
Cambria,325000,2,2,893,363.94
Morro Bay,789000,3,3,2100,375.71
Nipomo,498000,4,3,2341,212.73
Nipomo,430000,4,2,2168,198.34
Paso Robles,539900,4,3,3032,178.07
Pismo Beach,499000,3,2,1293,385.92
Los Osos,275000,3,2,1200,229.17
Santa Maria-Orcutt,499000,3,4,2250,221.78
Morro Bay,899000,3,3,2430,369.96
Morro Bay,1045000,3,3,2100,497.62
Morro Bay,774000,2,2,1550,499.35
Santa Maria-Orcutt,239000,3,3,1800,132.78
Santa Maria-Orcutt,195000,3,2,1218,160.1
Grover Beach,325000,2,1,768,423.18
Nipomo,320000,4,2,1929,165.89
Santa Maria-Orcutt,275000,4,3,1877,146.51
Paso Robles,329000,3,2,1700,193.53
Santa Maria-Orcutt,140000,3,2,1080,129.63
Paso Robles,409000,4,3,2192,186.59
Santa Maria-Orcutt,167900,3,2,1296,129.55
Nipomo,325000,7,5,2688,120.91
Santa Maria-Orcutt,119000,1,1,900,132.22
Santa Maria-Orcutt,245000,4,2,1482,165.32
Santa Maria-Orcutt,259900,3,2,1726,150.58
Arroyo Grande,495000,3,2,1486,333.11
San Luis Obispo,399000,4,2,1543,258.59
Santa Maria-Orcutt,329700,4,2,1367,241.19
Atascadero,199000,1,1,712,279.49
Santa Maria-Orcutt,149000,3,2,1040,143.27
Paso Robles,225000,3,2,1456,154.53
Santa Maria-Orcutt,195000,2,1,811,240.44
Paso Robles,359900,3,3,1951,184.47
Templeton,799000,4,4,3100,257.74
San Luis Obispo,595000,3,2,2117,281.06
Paso Robles,89000,3,2,1560,57.05
Santa Maria-Orcutt,129900,3,1,1042,124.66
Los Osos,375000,3,3,1519,246.87
Atascadero,599000,3,2,2774,215.93
Paso Robles,235000,3,2,1340,175.37
Santa Maria-Orcutt,255900,3,2,1440,177.71
Santa Maria-Orcutt,148900,5,2,1064,139.94
Arroyo Grande,749000,3,2,2145,349.18
Santa Maria-Orcutt,189900,3,2,1472,129.01
Paso Robles,183000,3,1,888,206.08
Santa Maria-Orcutt,232600,3,3,1582,147.03
Cambria,520000,3,2,1680,309.52
Solvang,355000,3,3,1702,208.58
Pismo Beach,275000,0,1,398,690.95
Santa Maria-Orcutt,225000,4,3,1940,115.98
Santa Maria-Orcutt,161900,3,2,1200,134.92
Santa Maria-Orcutt,249999,3,3,2013,124.19
Santa Maria-Orcutt,208000,2,1,1267,164.17
Guadalupe,135000,3,1,1100,122.73
San Luis Obispo,385000,2,3,1389,277.18
Atascadero,750000,4,4,3387,221.43
Atascadero,810000,4,3,3305,245.08
Atascadero,890000,4,5,4229,210.45
Atascadero,895000,4,3,3676,243.47
San Miguel,229900,3,2,1458,157.68
Grover Beach,240000,2,2,1020,235.29
Atascadero,429000,4,3,2513,170.71
Santa Maria-Orcutt,399000,4,3,2800,142.5
Santa Maria-Orcutt,385000,3,2,2000,192.5
Paso Robles,294900,3,2,1316,224.09
Paso Robles,399000,3,2,1220,327.05
Santa Maria-Orcutt,269000,3,3,1780,151.12
Cambria,449000,3,3,2120,211.79
Arroyo Grande,555900,5,3,2947,188.63
Paso Robles,319900,4,2,2135,149.84
Cambria,332000,4,4,1872,177.35
Bradley,499000,4,5,3400,146.76
Paso Robles,432000,4,3,3113,138.77
Arroyo Grande,199000,2,1,827,240.63
Santa Maria-Orcutt,29000,2,2,1500,19.33
Atascadero,299000,3,2,1270,235.43
Santa Maria-Orcutt,259000,4,3,1857,139.47
Los Osos,99000,1,1,538,184.01
Avila Beach,779000,2,2,1223,636.96
Avila Beach,839000,2,2,1223,686.02
Santa Ynez,525000,3,2,1746,300.69
Santa Ynez,795000,3,2,2092,380.02
Santa Maria-Orcutt,337000,4,2,2000,168.5
Oceano,164900,2,1,750,219.87
San Luis Obispo,449000,2,3,1650,272.12
Guadalupe,94000,2,2,797,117.94
Pismo Beach,899000,3,3,2266,396.73
Santa Maria-Orcutt,180000,3,2,1280,140.63
Bradley,194900,3,2,1092,178.48
Los Osos,350000,3,2,1509,231.94
King City,167770,3,3,1793,93.57
Creston,309900,3,2,1705,181.76
Templeton,479000,2,3,2100,228.1
Los Alamos,350000,3,2,1582,221.24
Grover Beach,350000,3,2,1470,238.1
Santa Maria-Orcutt,275000,3,2,1424,193.12
Paso Robles,379000,4,3,2277,166.45
King City,155900,4,2,3368,46.29
San Miguel,229000,3,2,1458,157.06
Pismo Beach,604995,2,3,1749,345.91
Pismo Beach,599000,3,3,1996,300.1
Morro Bay,359000,3,2,1008,356.15
Lompoc,199000,4,2,1527,130.32
Paso Robles,164900,3,2,1440,114.51
Coalinga,179000,3,2,1815,98.62
Paso Robles,370000,4,2,2064,179.26
Santa Ynez,999000,5,4,2402,415.9
Paso Robles,365000,3,3,2136,170.88
San Miguel,345000,3,2,1498,230.31
Paso Robles,299000,2,1,1068,279.96
Pismo Beach,519500,2,1,634,819.4
Buellton,645000,4,4,3000,215
Santa Maria-Orcutt,242500,3,2,1218,199.1
Santa Maria-Orcutt,259900,3,3,1300,199.92
Santa Maria-Orcutt,310000,4,3,2014,153.92
Atascadero,450000,2,2,1463,307.59
Santa Maria-Orcutt,220000,2,2,1541,142.76
San Luis Obispo,585000,3,2,1268,461.36
Santa Maria-Orcutt,324000,5,4,2400,135
Cambria,375000,1,1,551,680.58
Paso Robles,329000,3,2,1420,231.69
Paso Robles,599900,5,3,2764,217.04
Santa Maria-Orcutt,74900,2,2,1014,73.87
Los Osos,285000,3,2,1120,254.46
Santa Maria-Orcutt,751900,3,3,3400,221.15
Santa Maria-Orcutt,295000,3,2,1386,212.84
Coalinga,170000,3,2,1320,128.79
Santa Maria-Orcutt,197000,3,2,1376,143.17
Oceano,1250000,3,3,2586,483.37
Paso Robles,249000,3,2,1662,149.82
Nipomo,179000,2,2,1033,173.28
Santa Maria-Orcutt,132000,3,1,1050,125.71
Lockwood,425000,3,2,1500,283.33
Santa Maria-Orcutt,290000,5,3,2500,116
Los Osos,150000,2,2,896,167.41
Los Osos,150000,2,2,896,167.41
Los Osos,150000,2,2,896,167.41
Los Osos,150000,2,2,896,167.41
Los Osos,150000,2,2,896,167.41
Los Osos,205000,2,2,1388,147.69
Atascadero,599000,4,3,3120,191.99
Paso Robles,269000,3,3,1352,198.96
Santa Maria-Orcutt,249000,4,3,1963,126.85
Santa Maria-Orcutt,235000,3,3,1541,152.5
Grover Beach,469000,4,3,2449,191.51
Nipomo,159000,4,2,1660,95.78